filename,dimensions,frame_count,color_count,semi_transparent_pixel_count
acrobat_batting_stance.png,64x64,1,23,0
acrobat_celebrate.png,128x64,2,23,0
acrobat_idle.png,128x64,2,23,0
acrobat_pitch.png,256x64,4,25,0
acrobat_run.png,256x64,4,24,0
acrobat_swing.png,256x64,4,23,0
alice_batting_stance.png,64x64,1,20,0
alice_celebrate.png,128x64,2,20,0
alice_idle.png,128x64,2,20,0
alice_pitch.png,256x64,4,24,0
alice_run.png,256x64,4,21,0
alice_swing.png,256x64,4,22,0
apollo_batting_stance.png,64x64,1,7,0
apollo_celebrate.png,128x64,2,19,0
apollo_idle.png,128x64,2,20,0
apollo_pitch.png,256x64,4,23,0
apollo_run.png,256x64,4,20,0
apollo_swing.png,256x64,4,18,0
ares_batting_stance.png,64x64,1,22,0
ares_celebrate.png,128x64,2,24,0
ares_idle.png,128x64,2,23,0
ares_pitch.png,256x64,4,25,0
ares_run.png,256x64,4,25,0
ares_swing.png,256x64,4,23,0
arsene_lupin_batting_stance.png,64x64,1,25,0
arsene_lupin_celebrate.png,128x64,2,24,0
arsene_lupin_idle.png,128x64,2,23,0
arsene_lupin_pitch.png,256x64,4,25,0
arsene_lupin_run.png,256x64,4,25,0
arsene_lupin_swing.png,256x64,4,25,0
athena_batting_stance.png,64x64,1,18,0
athena_celebrate.png,128x64,2,22,0
athena_idle.png,128x64,2,20,0
athena_pitch.png,256x64,4,23,0
athena_run.png,256x64,4,21,0
athena_swing.png,256x64,4,20,0
bearded_lady_batting_stance.png,64x64,1,18,0
bearded_lady_celebrate.png,128x64,2,17,0
bearded_lady_idle.png,128x64,2,16,0
bearded_lady_pitch.png,256x64,4,22,0
bearded_lady_run.png,256x64,4,19,0
bearded_lady_swing.png,256x64,4,20,0
black_cat_batting_stance.png,64x64,1,23,0
black_cat_celebrate.png,128x64,2,23,0
black_cat_idle.png,128x64,2,22,0
black_cat_pitch.png,256x64,4,24,0
black_cat_run.png,256x64,4,23,0
black_cat_swing.png,256x64,4,24,0
centaur_batting_stance.png,64x64,1,19,0
centaur_celebrate.png,128x64,2,18,0
centaur_idle.png,128x64,2,19,0
centaur_pitch.png,256x64,4,21,0
centaur_run.png,256x64,4,20,0
centaur_swing.png,256x64,4,20,0
chupacabra_batting_stance.png,64x64,1,22,0
chupacabra_celebrate.png,128x64,2,24,0
chupacabra_idle.png,128x64,2,23,0
chupacabra_pitch.png,256x64,4,24,0
chupacabra_run.png,256x64,4,22,0
chupacabra_swing.png,256x64,4,25,0
cowardly_lion_batting_stance.png,64x64,1,21,0
cowardly_lion_celebrate.png,128x64,2,19,0
cowardly_lion_idle.png,128x64,2,19,0
cowardly_lion_pitch.png,256x64,4,22,0
cowardly_lion_run.png,256x64,4,21,0
cowardly_lion_swing.png,256x64,4,21,0
cupid_batting_stance.png,64x64,1,23,0
cupid_celebrate.png,128x64,2,25,0
cupid_idle.png,128x64,2,25,0
cupid_pitch.png,256x64,4,23,0
cupid_run.png,256x64,4,24,0
cupid_swing.png,256x64,4,24,0
cyclops_batting_stance.png,64x64,1,17,0
cyclops_celebrate.png,128x64,2,21,0
cyclops_idle.png,128x64,2,17,0
cyclops_pitch.png,256x64,4,21,0
cyclops_run.png,256x64,4,19,0
cyclops_swing.png,256x64,4,20,0
dionysus_batting_stance.png,64x64,1,21,0
dionysus_celebrate.png,128x64,2,21,0
dionysus_idle.png,128x64,2,21,0
dionysus_pitch.png,256x64,4,22,0
dionysus_run.png,256x64,4,21,0
dionysus_swing.png,256x64,4,23,0
dorothy_batting_stance.png,64x64,1,24,0
dorothy_celebrate.png,128x64,2,24,0
dorothy_idle.png,128x64,2,23,0
dorothy_pitch.png,256x64,4,24,0
dorothy_run.png,256x64,4,24,0
dorothy_swing.png,256x64,4,24,0
dracula_batting_stance.png,64x64,1,22,0
dracula_celebrate.png,128x64,2,22,0
dracula_idle.png,128x64,2,23,0
dracula_pitch.png,256x64,4,24,0
dracula_run.png,256x64,4,24,0
dracula_swing.png,256x64,4,23,0
dragon_batting_stance.png,64x64,1,21,0
dragon_celebrate.png,128x64,2,21,0
dragon_idle.png,128x64,2,19,0
dragon_pitch.png,256x64,4,23,0
dragon_run.png,256x64,4,20,0
dragon_swing.png,256x64,4,22,0
easter_bunny_batting_stance.png,64x64,1,21,0
easter_bunny_celebrate.png,128x64,2,22,0
easter_bunny_idle.png,128x64,2,21,0
easter_bunny_pitch.png,256x64,4,22,0
easter_bunny_run.png,256x64,4,21,0
easter_bunny_swing.png,256x64,4,22,0
esmeralda_batting_stance.png,64x64,1,24,0
esmeralda_celebrate.png,128x64,2,25,0
esmeralda_idle.png,128x64,2,25,0
esmeralda_pitch.png,256x64,4,25,0
esmeralda_run.png,256x64,4,25,0
esmeralda_swing.png,256x64,4,25,0
father_time_batting_stance.png,64x64,1,21,0
father_time_celebrate.png,128x64,2,23,0
father_time_idle.png,128x64,2,21,0
father_time_pitch.png,256x64,4,22,0
father_time_run.png,256x64,4,21,0
father_time_swing.png,256x64,4,22,0
fire_breather_batting_stance.png,64x64,1,18,0
fire_breather_celebrate.png,128x64,2,19,0
fire_breather_idle.png,128x64,2,18,0
fire_breather_pitch.png,256x64,4,24,0
fire_breather_run.png,256x64,4,22,0
