show_id,show_date,year,venue,city,state,set,position,song,song_id,is_cover,original_artist,length_sec,show_gap,times_played,rarity_rating,crowd_rating,is_jamchart,is_recommended,jamchart_note,transition,is_segue,tags,footnote,show_notes,teases
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,2,19,Shout,550,true,The Isley Brothers,,0,1,0,,false,false,,,false,closer|encore,The Isley Brothers. First known version.,,
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,3,20,Arcadia,403,false,,,0,3,0,67,false,false,,",",false,closer,,,
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,3,21,Gringo,484,false,,,0,1,0,,false,false,,",",false,opener|ballad,First known version.,,
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,3,22,Spirit Of The Dark Horse,557,false,,,0,2,0,41,false,false,,",",false,,,,
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,3,23,This Old Sea,572,false,,,0,1,0,54,false,false,,",",false,jam,First known version.,,
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,3,24,The River,872,false,,,1,2,0,,false,false,,,false,,,,
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,E,25,Use Me,581,true,Bill Withers,,1,2,0,,false,false,,",",false,opener|closer,Bill Withers.,,
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,E,26,Linus And Lucy,507,true,Vince Guaraldi,,0,3,0,,false,false,,",",false,opener|closer|encore,Vince Guaraldi.,,
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,E,27,Jive I,411,false,,,1,2,0,,false,false,,",",false,,Wiltonian Jive.,,
1613690543,2014-12-20,2014,Factory Underground Studio,Norwalk,CT,E,28,Linus And Lucy,507,true,Vince Guaraldi,,0,4,0,,false,false,,,false,opener|closer|encore,Vince Guaraldi.,,
1616038744,2014-12-23,2014,Station House Bar and Grille,Norwalk,CT,1,1,Chank,447,true,John Scofield,,0,3,0,,false,false,,",",false,opener,John Scofield.,,
1616038744,2014-12-23,2014,Station House Bar and Grille,Norwalk,CT,1,2,Rosetta,539,true,Earl Hines,,0,2,0,,false,false,,",",false,,,,
1616038744,2014-12-23,2014,Station House Bar and Grille,Norwalk,CT,1,3,Back On The Train,656,true,Phish,,0,1,0,,false,false,,",",false,,Phish. First known Goose version.,,
