strip,character,animation,classification,needs_art_reasons,classification_after_bg,after_bg_reasons,recovered_by_bg_removal,width,height,frame_count,expected_frames,color_count,semi_transparent_pixels,opaque_pixels_per_frame,opaque_coverage_pct,baseline_per_frame,interior_hole_pixels,interior_hole_total,edge_pixels_x0,edge_pixels_x63,background_pixels_per_frame,detached_islands,detached_island_detail,identical_frame_pairs,consecutive_frame_deltas
medusa_run,medusa,run,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,13,0,707;962;989;726,17.26;23.49;24.15;17.72,62;63;63;62,0;0;0;0,0,0;0;0;0,0;0;0;0,0;0;0;0,10,"f1:179px@22,52-40,63 f1:115px@41,44-51,63 f1:8px@14,50-17,54 f1:7px@8,60-11,63 f2:164px@18,52-37,63 f2:125px@38,44-47,63 f2:22px@8,60-14,63 f2:6px@15,49-18,51 f2:6px@52,61-55,63 f2:5px@10,54-12,56",,1525;960;1572
medusa_swing,medusa,swing,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,19,0,1118;1179;1053;990,27.29;28.78;25.71;24.17,63;63;63;63,0;0;0;0,0,0;0;0;0,0;0;0;0,1;0;0;0,7,"f0:195px@20,51-39,63 f0:72px@41,54-49,63 f1:189px@23,51-42,63 f1:71px@11,54-19,63 f2:147px@18,54-36,63 f2:58px@40,8-52,22 f3:111px@38,55-54,63",,1006;1411;1211
mother_nature_batting_stance,mother_nature,batting_stance,REPAIRABLE,,REPAIRABLE,,,64,64,1,1,13,0,255,6.23,62,0,0,0,0,0,1,"f0:75px@12,52-21,62",,
mother_nature_celebrate,mother_nature,celebrate,NEEDS_ART,blank frame(s) 0 (under 200 opaque px),NEEDS_ART,f0 blank after background (103 px),,128,64,2,2,22,0,103;1558,2.51;38.04,62;62,0;24,24,0;0,0;0,0;0,2,"f0:9px@34,57-36,62 f0:4px@36,52-36,55",,1527
mother_nature_idle,mother_nature,idle,NEEDS_ART,blank frame(s) 0 (under 200 opaque px),NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,23,0,0;1382,0.0;33.74,-1;62,0;17,17,0;0,0;0,0;0,0,,,1382
mother_nature_pitch,mother_nature,pitch,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,23,0,1309;1313;1294;1284,31.96;32.06;31.59;31.35,63;63;63;63,16;12;6;30,64,0;0;0;0,0;0;0;0,0;0;0;0,6,"f0:373px@24,47-52,63 f1:353px@29,48-56,63 f2:342px@22,49-50,63 f2:48px@55,1-61,8 f3:331px@29,48-56,63 f3:4px@4,3-4,6",,1344;1444;1683
mother_nature_run,mother_nature,run,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,25,0,1174;1448;1279;1116,28.66;35.35;31.23;27.25,63;63;63;62,28;27;19;31,105,0;0;0;0,0;0;0;0,0;0;0;0,4,"f0:16px@54,61-60,63 f1:326px@12,49-38,63 f1:5px@4,62-6,63 f2:208px@27,51-52,63",,1399;1246;2109
mother_nature_swing,mother_nature,swing,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,24,0,1362;1391;1346;1269,33.25;33.96;32.86;30.98,63;63;63;63,11;11;17;16,55,0;0;0;0,0;0;0;0,0;0;0;0,6,"f0:273px@13,50-37,63 f1:305px@22,49-48,63 f1:40px@9,59-18,63 f2:278px@14,50-40,63 f3:213px@34,52-57,63 f3:74px@6,16-15,23",,1135;1671;2020
mr_hyde_batting_stance,mr_hyde,batting_stance,REPAIRABLE,,REPAIRABLE,,,64,64,1,1,19,0,1057,25.81,62,0,0,0,0,0,2,"f0:54px@24,59-37,62 f0:39px@6,57-13,62",,
mr_hyde_celebrate,mr_hyde,celebrate,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,21,0,1103;1275,26.93;31.13,62;62,0;0,0,0;0,0;0,0;0,0,,,1241
